,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.0263,,-0.04596,-0.80794,-1.59860,,0.09436,-0.00089,0.02083,0.99532,,-0.04596,0.19206,-6.59860,0.06279,-0.42285,0.90402,Data_Unreliable,100.00000,Data_Unreliable,-0.07743,0.19076,-6.59878,0.07606,-0.39581,0.91518,Data_Unreliable,-0.01448,0.19336,-6.59842,0.04946,-0.44945,0.89193,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.0497,,-0.04599,-0.80799,-1.59873,,0.09447,-0.00083,0.02076,0.99531,,-0.04599,0.19201,-6.59873,0.06267,-0.42350,0.90373,Data_Unreliable,100.00000,Data_Unreliable,-0.07746,0.19071,-6.59890,0.07594,-0.39647,0.91490,Data_Unreliable,-0.01452,0.19331,-6.59855,0.04934,-0.45009,0.89162,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.0699,,-0.04596,-0.80819,-1.59898,,0.09443,-0.00074,0.02070,0.99532,,-0.04596,0.19181,-6.59898,0.06283,-0.42377,0.90359,Data_Unreliable,100.00000,Data_Unreliable,-0.07743,0.19051,-6.59915,0.07611,-0.39675,0.91477,Data_Unreliable,-0.01449,0.19310,-6.59881,0.04949,-0.45036,0.89147,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,149.69,173.08,32.70,19.45,110.78,Data_Unreliable
,0.0846,,-0.04592,-0.80819,-1.59894,,0.09437,-0.00072,0.02065,0.99532,,-0.04592,0.19181,-6.59894,0.06291,-0.42389,0.90353,Data_Unreliable,100.00000,Data_Unreliable,-0.07740,0.19052,-6.59911,0.07618,-0.39687,0.91471,Data_Unreliable,-0.01445,0.19310,-6.59878,0.04957,-0.45048,0.89141,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.0956,,-0.04589,-0.80823,-1.59899,,0.09429,-0.00071,0.02059,0.99533,,-0.04589,0.19177,-6.59899,0.06302,-0.42395,0.90349,Data_Unreliable,100.00000,Data_Unreliable,-0.07736,0.19049,-6.59915,0.07630,-0.39693,0.91467,Data_Unreliable,-0.01441,0.19306,-6.59882,0.04967,-0.45054,0.89137,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.1095,,-0.04584,-0.80824,-1.59896,,0.09419,-0.00072,0.02054,0.99534,,-0.04584,0.19176,-6.59896,0.06298,-0.42382,0.90356,Data_Unreliable,100.00000,Data_Unreliable,-0.07731,0.19048,-6.59913,0.07626,-0.39679,0.91473,Data_Unreliable,-0.01436,0.19304,-6.59879,0.04963,-0.45040,0.89144,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.1231,,-0.04578,-0.80822,-1.59887,,0.09410,-0.00075,0.02049,0.99535,,-0.04578,0.19178,-6.59887,0.06302,-0.42382,0.90355,Data_Unreliable,100.00000,Data_Unreliable,-0.07725,0.19050,-6.59903,0.07631,-0.39679,0.91473,Data_Unreliable,-0.01430,0.19306,-6.59870,0.04967,-0.45040,0.89144,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.1380,,-0.04570,-0.80822,-1.59877,,0.09402,-0.00077,0.02046,0.99536,,-0.04570,0.19178,-6.59877,0.06313,-0.42373,0.90359,Data_Unreliable,100.00000,Data_Unreliable,-0.07717,0.19050,-6.59894,0.07642,-0.39671,0.91476,Data_Unreliable,-0.01422,0.19305,-6.59860,0.04978,-0.45032,0.89148,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,155.69,172.08,35.07,18.29,110.78,Data_Unreliable
,0.1522,,-0.04563,-0.80827,-1.59876,,0.09396,-0.00079,0.02047,0.99537,,-0.04563,0.19173,-6.59876,0.06312,-0.42353,0.90368,Data_Unreliable,100.00000,Data_Unreliable,-0.07711,0.19046,-6.59893,0.07642,-0.39651,0.91485,Data_Unreliable,-0.01416,0.19301,-6.59859,0.04976,-0.45011,0.89159,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.1662,,-0.04557,-0.80824,-1.59870,,0.09391,-0.00083,0.02045,0.99537,,-0.04557,0.19176,-6.59870,0.06304,-0.42327,0.90381,Data_Unreliable,100.00000,Data_Unreliable,-0.07704,0.19048,-6.59887,0.07634,-0.39625,0.91496,Data_Unreliable,-0.01409,0.19303,-6.59852,0.04967,-0.44985,0.89172,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.1807,,-0.04553,-0.80828,-1.59866,,0.09392,-0.00081,0.02039,0.99537,,-0.04553,0.19172,-6.59866,0.06296,-0.42297,0.90395,Data_Unreliable,100.00000,Data_Unreliable,-0.07700,0.19044,-6.59883,0.07626,-0.39595,0.91510,Data_Unreliable,-0.01405,0.19299,-6.59849,0.04960,-0.44956,0.89187,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.1956,,-0.04549,-0.80828,-1.59862,,0.09396,-0.00078,0.02032,0.99537,,-0.04549,0.19172,-6.59862,0.06286,-0.42277,0.90405,Data_Unreliable,100.00000,Data_Unreliable,-0.07696,0.19046,-6.59879,0.07616,-0.39574,0.91520,Data_Unreliable,-0.01401,0.19299,-6.59845,0.04951,-0.44937,0.89197,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.2089,,-0.04548,-0.80819,-1.59833,,0.09406,-0.00073,0.02027,0.99536,,-0.04548,0.19181,-6.59833,0.06272,-0.42252,0.90418,Data_Unreliable,100.00000,Data_Unreliable,-0.07695,0.19055,-6.59850,0.07601,-0.39549,0.91532,Data_Unreliable,-0.01400,0.19308,-6.59816,0.04936,-0.44912,0.89211,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.2235,,-0.04545,-0.80829,-1.59827,,0.09421,-0.00065,0.02025,0.99535,,-0.04545,0.19171,-6.59827,0.06264,-0.42244,0.90422,Data_Unreliable,100.00000,Data_Unreliable,-0.07692,0.19044,-6.59843,0.07594,-0.39541,0.91536,Data_Unreliable,-0.01398,0.19297,-6.59811,0.04928,-0.44904,0.89215,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.2377,,-0.04541,-0.80834,-1.59824,,0.09439,-0.00056,0.02022,0.99533,,-0.04541,0.19166,-6.59824,0.06272,-0.42267,0.90411,Data_Unreliable,100.00000,Data_Unreliable,-0.07688,0.19040,-6.59840,0.07602,-0.39565,0.91525,Data_Unreliable,-0.01393,0.19293,-6.59809,0.04936,-0.44926,0.89204,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.2518,,-0.04535,-0.80833,-1.59817,,0.09457,-0.00047,0.02017,0.99531,,-0.04535,0.19167,-6.59817,0.06269,-0.42262,0.90413,Data_Unreliable,100.00000,Data_Unreliable,-0.07683,0.19041,-6.59831,0.07599,-0.39560,0.91528,Data_Unreliable,-0.01388,0.19293,-6.59802,0.04933,-0.44922,0.89206,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.2661,,-0.04531,-0.80842,-1.59807,,0.09471,-0.00036,0.02011,0.99530,,-0.04531,0.19158,-6.59807,0.06276,-0.42280,0.90405,Data_Unreliable,100.00000,Data_Unreliable,-0.07679,0.19032,-6.59821,0.07606,-0.39577,0.91519,Data_Unreliable,-0.01384,0.19284,-6.59793,0.04938,-0.44938,0.89197,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.2823,,-0.04525,-0.80848,-1.59799,,0.09483,-0.00028,0.02006,0.99529,,-0.04525,0.19152,-6.59799,0.06303,-0.42341,0.90374,Data_Unreliable,100.00000,Data_Unreliable,-0.07672,0.19026,-6.59813,0.07634,-0.39639,0.91490,Data_Unreliable,-0.01377,0.19277,-6.59785,0.04965,-0.44999,0.89165,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.2949,,-0.04518,-0.80857,-1.59787,,0.09490,-0.00021,0.02000,0.99529,,-0.04518,0.19144,-6.59787,0.06328,-0.42385,0.90352,Data_Unreliable,100.00000,Data_Unreliable,-0.07665,0.19018,-6.59801,0.07660,-0.39685,0.91468,Data_Unreliable,-0.01370,0.19269,-6.59774,0.04990,-0.45042,0.89142,Data_Unreliable,Closed,,Closed,,2.80,Data_Unreliable,2.21,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,65.26,Data_Unreliable,65.06,Data_Unreliable,13.50,Data_Uncalibrated,10.98,,0.06951,-0.20858,Data_Unreliable,0.04400,-0.26710,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
